device_id;timestamp;pressure_value;temp_value;humidity_value
BME680;2025-12-17-23-54-01;0.97055;22.9121;40.3832
BME680;2025-12-17-23-54-16;0.97057;22.8573;40.692
BME680;2025-12-17-23-54-32;0.97057;22.695;40.5654
BME680;2025-12-17-23-54-48;0.97057;22.7796;40.5971
BME680;2025-12-17-23-55-04;0.97058;22.6513;40.4851
BME680;2025-12-17-23-55-19;0.97058;22.7449;40.5175
BME680;2025-12-17-23-55-35;0.97057;22.6463;40.4554
BME680;2025-12-17-23-55-51;0.97057;22.7363;40.4931
BME680;2025-12-17-23-56-06;0.97057;22.5985;40.5845
BME680;2025-12-17-23-56-22;0.97057;22.6905;40.617
BME680;2025-12-17-23-56-38;0.97056;22.5839;40.5598
BME680;2025-12-17-23-56-53;0.97058;22.6966;42.2883
BME680;2025-12-17-23-57-09;0.97058;22.5737;41.5501
BME680;2025-12-17-23-57-25;0.97058;22.6523;40.976
BME680;2025-12-17-23-57-40;0.97059;22.5453;40.778
BME680;2025-12-17-23-57-56;0.97059;22.6256;40.7913
BME680;2025-12-17-23-58-12;0.97059;22.5125;40.6926
BME680;2025-12-17-23-58-27;0.97059;22.6131;40.8842
BME680;2025-12-17-23-58-43;0.9706;22.5164;41.0681
BME680;2025-12-17-23-58-59;0.97061;22.6116;40.8545
BME680;2025-12-17-23-59-15;0.97061;22.4928;40.8134
BME680;2025-12-17-23-59-30;0.97061;22.5842;40.834
BME680;2025-12-17-23-59-46;0.9706;22.4836;40.8067
BME680;2025-12-18-00-00-02;0.9706;22.5597;40.8724
BME680;2025-12-18-00-00-17;0.9706;22.4603;40.8569
BME680;2025-12-18-00-00-33;0.97061;22.5877;40.8699
BME680;2025-12-18-00-00-51;0.97061;22.4944;40.9018
BME680;2025-12-18-00-01-07;0.97061;22.6074;40.7664
BME680;2025-12-18-00-01-23;0.97061;22.5262;40.6768
BME680;2025-12-18-00-01-38;0.97062;22.6434;40.7526
BME680;2025-12-18-00-01-54;0.97061;22.5406;40.6079
BME680;2025-12-18-00-02-10;0.97061;22.6577;40.7074
BME680;2025-12-18-00-02-22;0.97059;22.9245;40.0043
BME680;2025-12-18-00-09-21;0.97053;23.4539;40.0531
BME680;2025-12-18-00-19-24;0.97057;25.7665;32.5148
BME680;2025-12-18-00-29-28;0.97058;27.9445;32.8626
BME680;2025-12-18-00-39-31;0.9705;28.8063;35.6715
BME680;2025-12-18-00-49-35;0.97041;29.0928;34.3352
BME680;2025-12-18-00-59-38;0.97041;28.9945;34.7364
BME680;2025-12-18-01-09-41;0.97042;28.8203;34.7427
BME680;2025-12-18-01-19-45;0.97043;28.4831;35.8686
BME680;2025-12-18-01-29-48;0.97044;28.1059;36.8419
BME680;2025-12-18-01-39-51;0.97042;27.7324;36.5442
BME680;2025-12-18-01-49-55;0.9704;27.3462;37.0338
BME680;2025-12-18-01-59-58;0.97042;27.0619;37.8745
BME680;2025-12-18-02-10-01;0.97044;26.7025;37.5904
BME680;2025-12-18-02-20-05;0.97048;26.3275;36.626
BME680;2025-12-18-02-30-08;0.97054;26.0307;37.1211
BME680;2025-12-18-02-40-11;0.97061;25.7089;37.4144
BME680;2025-12-18-02-50-14;0.97065;25.4007;37.8167
BME680;2025-12-18-03-00-17;0.97069;25.1883;38.6596
BME680;2025-12-18-03-10-20;0.97072;24.9789;38.8803
BME680;2025-12-18-03-20-24;0.97072;24.7573;38.0697
BME680;2025-12-18-03-30-30;0.97073;24.5599;39.2678
BME680;2025-12-18-03-40-33;0.9707;24.3692;39.5263
BME680;2025-12-18-03-50-36;0.97069;24.1967;40.1805
