device_id;timestamp;tds_value;temp_value;ph_value
Water_1;2025-12-17-23-54-02;0;21.9375;6.66
Water_1;2025-12-17-23-54-18;0;21.9375;6.66
Water_1;2025-12-17-23-54-34;0;21.9375;6.66
Water_1;2025-12-17-23-54-50;0;21.9375;6.66
Water_1;2025-12-17-23-55-05;0;21.875;6.66
Water_1;2025-12-17-23-55-21;0;21.875;6.66
Water_1;2025-12-17-23-55-37;0;21.875;6.66
Water_1;2025-12-17-23-55-52;0;21.875;6.66
Water_1;2025-12-17-23-56-08;0;21.875;6.66
Water_1;2025-12-17-23-56-23;0;21.875;6.66
Water_1;2025-12-17-23-56-39;0;21.8125;6.66
Water_1;2025-12-17-23-56-55;0;21.8125;6.66
Water_1;2025-12-17-23-57-11;0;21.8125;6.66
Water_1;2025-12-17-23-57-26;0;21.8125;6.66
Water_1;2025-12-17-23-57-42;0;21.8125;6.66
Water_1;2025-12-17-23-57-58;0;21.75;6.66
Water_1;2025-12-17-23-58-13;0;21.75;6.66
Water_1;2025-12-17-23-58-29;0;21.75;6.66
Water_1;2025-12-17-23-58-45;0;21.75;6.66
Water_1;2025-12-17-23-59-00;0;21.75;6.66
Water_1;2025-12-17-23-59-16;0;21.75;6.66
Water_1;2025-12-17-23-59-32;0;21.75;6.66
Water_1;2025-12-17-23-59-48;0;21.6875;6.66
Water_1;2025-12-18-00-00-03;0;21.6875;6.66
Water_1;2025-12-18-00-00-19;0;21.6875;6.66
Water_1;2025-12-18-00-00-34;0;21.6875;6.66
Water_1;2025-12-18-00-00-53;0;21.6875;6.66
Water_1;2025-12-18-00-01-09;0;21.6875;6.66
Water_1;2025-12-18-00-01-24;0;21.6875;6.66
Water_1;2025-12-18-00-01-40;0;21.6875;6.66
Water_1;2025-12-18-00-01-56;0;21.6875;6.66
Water_1;2025-12-18-00-02-11;0;21.6875;6.66
Water_1;2025-12-18-00-02-23;0;21.75;6.66
Water_1;2025-12-18-00-09-23;0;21.0625;6.66
Water_1;2025-12-18-00-19-26;272.59;43;6.66
Water_1;2025-12-18-00-29-30;270.908;41.4375;6.66
Water_1;2025-12-18-00-39-33;274.878;39.875;6.66
Water_1;2025-12-18-00-49-36;277.094;38.5;6.66
Water_1;2025-12-18-00-59-40;275.516;37.375;6.66
Water_1;2025-12-18-01-09-43;276.708;36.3125;6.66
Water_1;2025-12-18-01-19-47;275.69;35.3125;6.66
Water_1;2025-12-18-01-29-50;276.817;34.4375;6.66
Water_1;2025-12-18-01-39-53;274.732;33.6875;6.66
Water_1;2025-12-18-01-49-56;277.545;32.875;6.66
Water_1;2025-12-18-02-00-00;277.106;32.1875;6.66
Water_1;2025-12-18-02-10-03;279.206;31.5625;6.66
Water_1;2025-12-18-02-20-06;278.536;30.8125;6.66
Water_1;2025-12-18-02-30-09;277.805;30.1875;6.66
Water_1;2025-12-18-02-40-13;277.533;29.625;6.66
Water_1;2025-12-18-02-50-16;278.518;29.125;6.66
Water_1;2025-12-18-03-00-19;276.61;28.625;6.66
Water_1;2025-12-18-03-10-22;279.152;28.1875;6.66
Water_1;2025-12-18-03-20-28;276.092;27.75;6.66
Water_1;2025-12-18-03-30-31;276.989;27.375;6.66
Water_1;2025-12-18-03-40-35;277.898;27;6.66
Water_1;2025-12-18-03-50-38;276.086;26.625;6.66
Water_1;2025-12-18-04-00-41;276.454;26.3125;6.66
Water_1;2025-12-18-04-10-44;277.042;25.9375;6.66
Water_1;2025-12-18-04-20-48;276.526;25.625;6.66
Water_1;2025-12-18-04-30-51;277.124;25.3125;6.66
Water_1;2025-12-18-04-40-54;275.697;25.0625;6.66
Water_1;2025-12-18-04-50-57;275.669;24.8125;6.66
Water_1;2025-12-18-05-01-00;278.261;24.5;6.66
Water_1;2025-12-18-05-11-03;277.39;24.25;6.66
Water_1;2025-12-18-05-21-06;275.079;24.0625;6.66
Water_1;2025-12-18-05-31-10;276.999;23.8125;6.66
Water_1;2025-12-18-05-41-13;273.513;23.5625;6.66
Water_1;2025-12-18-05-51-16;273.704;23.375;6.66
Water_1;2025-12-18-06-01-19;275.126;23.1875;6.66
Water_1;2025-12-18-06-11-22;276.494;22.9375;6.66
Water_1;2025-12-18-06-21-25;275.525;22.75;6.66
Water_1;2025-12-18-06-31-28;274.844;22.5625;6.66
Water_1;2025-12-18-06-41-31;276.523;22.375;6.66
Water_1;2025-12-18-06-51-35;273.105;22.25;6.66
Water_1;2025-12-18-07-01-38;274.193;22.0625;6.66
Water_1;2025-12-18-07-11-41;275.52;21.9375;6.66
Water_1;2025-12-18-07-21-44;276.326;21.75;6.66
Water_1;2025-12-18-07-31-47;276.766;21.625;6.66
Water_1;2025-12-18-07-41-50;276.306;21.5;6.66
Water_1;2025-12-18-07-51-53;276.447;21.375;6.66
Water_1;2025-12-18-08-01-56;277.194;21.25;6.66
Water_1;2025-12-18-08-12-00;276.732;21.125;6.66
Water_1;2025-12-18-08-22-03;275.659;21;6.66
Water_1;2025-12-18-08-32-06;277.02;20.875;6.66
Water_1;2025-12-18-08-42-09;275.331;20.75;6.66
Water_1;2025-12-18-08-52-12;277.312;20.6875;6.66
Water_1;2025-12-18-09-02-16;277.078;20.5625;6.66
Water_1;2025-12-18-09-12-19;277.533;20.4375;6.66
Water_1;2025-12-18-09-22-22;273.909;20.375;6.66
Water_1;2025-12-18-09-32-25;274.665;20.25;6.66
Water_1;2025-12-18-09-42-31;278.14;20.1875;6.66
Water_1;2025-12-18-09-52-34;275.426;20.125;6.66
Water_1;2025-12-18-10-02-37;275.259;20;6.66
Water_1;2025-12-18-10-12-40;275.642;19.9375;6.66
Water_1;2025-12-18-10-22-43;275.091;19.875;6.66
Water_1;2025-12-18-10-32-47;274.539;19.8125;6.66
Water_1;2025-12-18-10-42-50;277.497;19.6875;6.66
Water_1;2025-12-18-10-52-53;276.006;19.6875;6.66
Water_1;2025-12-18-11-02-56;274.825;19.625;6.66
Water_1;2025-12-18-11-12-59;274.268;19.5;6.66
Water_1;2025-12-18-11-23-05;275.283;19.4375;6.66
Water_1;2025-12-18-11-33-09;276.227;19.4375;6.66
Water_1;2025-12-18-11-43-12;274.726;19.375;6.66
Water_1;2025-12-18-11-53-15;276.06;19.3125;6.66
Water_1;2025-12-18-12-03-18;275.818;19.25;6.66
Water_1;2025-12-18-12-13-21;275.259;19.1875;6.66
Water_1;2025-12-18-12-23-24;275.649;19.125;6.66
Water_1;2025-12-18-12-33-28;276.916;19.0625;6.66
Water_1;2025-12-18-12-43-31;274.454;19.0625;6.66
Water_1;2025-12-18-12-53-34;276.75;19;6.66
Water_1;2025-12-18-13-03-37;277.144;18.9375;6.66
Water_1;2025-12-18-13-13-40;277.78;18.9375;6.66
Water_1;2025-12-18-13-23-43;274.672;18.875;6.66
Water_1;2025-12-18-13-33-46;277.296;18.8125;6.66
Water_1;2025-12-18-13-43-50;274.744;18.8125;6.66
Water_1;2025-12-18-13-53-53;277.054;18.75;6.66
Water_1;2025-12-18-14-03-56;277.13;18.6875;6.66
Water_1;2025-12-18-14-13-59;275.85;18.6875;6.66
Water_1;2025-12-18-14-24-03;274.964;18.625;6.66
Water_1;2025-12-18-14-34-06;275.68;18.625;6.66
Water_1;2025-12-18-14-44-09;276.321;18.5625;6.66
Water_1;2025-12-18-14-54-12;276;18.5625;6.66
Water_1;2025-12-18-15-04-15;274.148;18.5;6.66
Water_1;2025-12-18-15-14-18;275.433;18.5;6.66
Water_1;2025-12-18-15-24-21;275.186;18.5;6.66
Water_1;2025-12-18-15-34-24;275.829;18.4375;6.66
Water_1;2025-12-18-15-44-27;278.804;18.4375;6.66
Water_1;2025-12-18-15-54-30;275.582;18.375;6.66
Water_1;2025-12-18-16-04-33;277.193;18.375;6.66
Water_1;2025-12-18-16-14-37;277.271;18.375;6.66
Water_1;2025-12-18-16-24-40;275.657;18.3125;6.66
Water_1;2025-12-18-16-34-43;276.625;18.3125;6.66
Water_1;2025-12-18-16-44-47;277.025;18.3125;6.66
Water_1;2025-12-18-16-54-50;279.61;18.25;6.66
Water_1;2025-12-18-17-04-53;278.318;18.25;6.66
Water_1;2025-12-18-19-12-17;10.6402;16.9375;6.66
Water_1;2025-12-18-19-12-40;9.01178;16.9375;6.66
Water_1;2025-12-18-19-13-28;37.9787;17.25;6.66
Water_1;2025-12-18-19-20-03;302.738;17.625;6.66
Water_1;2025-12-18-19-30-05;302.738;17.625;6.66
Water_1;2025-12-18-19-34-38;115.965;15.9375;6.66
Water_1;2025-12-18-19-43-24;299.783;17.625;6.66
Water_1;2025-12-18-19-40-07;302.082;17.625;6.66
Water_1;2025-12-18-19-50-01;289.94;17.625;6.66
Water_1;2025-12-18-20-00-01;289.94;17.625;6.66
Water_1;2025-12-18-20-10-02;290.924;17.625;6.66
Water_1;2025-12-18-20-20-01;291.58;17.625;6.66
Water_1;2025-12-18-20-30-02;290.924;17.625;6.66
Water_1;2025-12-18-20-40-02;291.908;17.625;6.66
Water_1;2025-12-18-20-50-01;290.268;17.625;6.66
Water_1;2025-12-18-21-00-01;292.236;17.625;6.66
Water_1;2025-12-18-21-10-01;294.532;17.625;6.66
Water_1;2025-12-18-21-20-01;293.322;17.625;6.66
Water_1;2025-12-18-21-30-02;293.322;17.5625;6.66
Water_1;2025-12-18-21-40-02;291.68;17.625;6.66
Water_1;2025-12-18-21-50-02;295.294;17.625;6.66
Water_1;2025-12-18-22-00-02;295.294;17.625;6.66
Water_1;2025-12-18-22-10-02;292.665;17.625;6.66
Water_1;2025-12-18-22-20-02;295.951;17.625;6.66
Water_1;2025-12-18-22-30-02;295.294;17.625;6.66
Water_1;2025-12-18-22-40-02;292.665;17.625;6.66
Water_1;2025-12-18-22-50-02;295.951;17.625;6.66
Water_1;2025-12-19-06-20-02;302.641;17.5;6.66
Water_1;2025-12-19-06-40-03;302.311;17.5;6.66
Water_1;2025-12-19-06-50-02;300.994;17.5;6.66
Water_1;2025-12-19-07-00-02;302.97;17.5;6.66
Water_1;2025-12-19-07-10-02;300.994;17.5;6.66
Water_1;2025-12-19-07-20-02;302.311;17.5;6.66
